latitude,longitude,2018_forecast,date_recorded
-9.85632177,34.93809275,0,10/8/2018
-3.82132853,37.46066446,0,5/30/2018
-11.15529772,38.48616088,2,5/27/2018
-4.76558728,39.1727956,0,10/20/2018
-3.76636472,33.36240982,2,12/11/2018
-5.14671181,32.71110001,0,5/11/2018
-7.03413939,39.20951812,0,11/15/2018
-10.57417468,35.77025785,0,10/23/2018
-3.2901937999999995,33.79810612,0,3/1/2018
-3.1817832999999998,37.09257412,0,9/4/2018
-3.62933335,34.36407268,0,3/5/2018
-8.27496163,31.44412134,0,10/25/2018
-9.10618458,34.64243884,0,3/23/2018
-9.08551497,34.56926611,0,8/12/2018
-9.8944125,34.50896732,0,1/15/2018
-9.59498965,34.47342985,0,8/10/2018
-8.98001429,34.58690108,0,12/20/2018
-4.12559468,37.94002949,0,6/11/2018
-4.49556758,29.74706567,0,3/29/2018
-3.31753648,37.42275132,0,7/24/2018
-9.94253166,39.37077651,0,3/2/2018
-3.2635263,37.61112572,2,5/29/2018
-3.19198926,37.06168837,0,5/13/2018
-5.79099991,36.1083125,0,6/20/2018
-6.63610419,38.36355454,0,8/8/2018
-3.29062725,37.49233371,1,10/21/2018
-9.71590954,34.47835586,0,4/1/2018
-9.63851993,33.85434473,0,6/13/2018
-4.6479063,35.85837259,0,1/22/2018
-8.22439872,35.89026429,0,8/30/2018
-3.89456056,30.6133054,0,6/24/2018
-3.47684942,37.42002692,0,8/13/2018
-9.20464923,33.92790176,0,6/23/2018
-9.03250291,34.81457364,0,9/18/2018
-3.47855934,36.80607857,0,11/1/2018
-3.83899753,33.34526033,2,11/3/2018
-11.00060373,39.08741514,0,6/14/2018
-8.22756303,35.87141325,0,11/4/2018
-9.18987766,34.44128349,0,1/16/2018
-3.34929238,37.37285829,0,12/4/2018
-8.57166114,32.04683486,0,7/25/2018
-9.44812238,33.95816322,0,10/9/2018
-2e-08,0.0,2,5/31/2018
-3.35653763,37.34816881,2,3/14/2018
-3.36819761,37.47943592,0,9/14/2018
-3.33981163,36.72112734,0,9/10/2018
-1.56388609,31.45428168,0,4/10/2018
-5.11324963,38.78943655,0,7/22/2018
-4.647289499999999,38.37667127,2,4/30/2018
-4.77975837,29.66972029,1,12/28/2018
-3.35002587,36.94745079,2,9/1/2018
-4.30776106,34.76272634,0,6/8/2018
-9.203522099999999,34.89725735,0,12/25/2018
-1.2857798,30.71609028,2,6/22/2018
-8.88959406,34.55789311,0,6/8/2018
-4.47180947,29.76800862,0,9/3/2018
-4.27996794,30.41995839,0,1/8/2018
-9.3264772,34.68047144,0,11/4/2018
-3.55703413,36.93165941,0,4/6/2018
-4.8348356,38.58082367,0,4/4/2018
-3.36190077,32.25500494,0,3/13/2018
-9.27156548,34.28447604,0,3/25/2018
-7.02426273,37.722953100000005,0,10/30/2018
-3.3747906000000003,36.75793224,0,12/20/2018
-3.36161167,33.53890869,0,10/6/2018
-2.37877187,32.18551701,0,6/11/2018
-7.91231657,35.73447433,0,2/27/2018
-6.63869562,38.35356668,0,8/31/2018
-5.89186837,35.87817211,1,10/11/2018
-4.7268495999999995,29.67098869,1,1/11/2018
-10.47656619,38.96294513,2,4/27/2018
-6.55790327,38.89040167,2,1/21/2018
-4.44803987,35.51217404,0,2/24/2018
-1.19438963,31.45311103,2,3/14/2018
-4.34106206,30.21673046,0,5/13/2018
-4.23637808,30.12668109,2,7/7/2018
-3.00965923,33.0795039,0,12/24/2018
-10.80885305,35.54217277,0,10/12/2018
-3.56601953,33.23583842,2,1/20/2018
-4.99423737,39.04298326,2,9/16/2018
-4.09374985,34.56343795,0,9/26/2018
-3.55486258,30.65026741,0,6/9/2018
-11.31324316,36.95075936,1,12/12/2018
-3.21646394,37.17489041,0,11/8/2018
-3.56996907,37.61640658,0,4/29/2018
-3.26949691,33.69790014,0,1/12/2018
-3.0251057,31.767300899999995,2,7/25/2018
-7.71054858,35.63048144,0,8/22/2018
-3.33074309,36.90832887,0,7/8/2018
-3.3445666,36.87553547,0,5/22/2018
-3.26790435,31.48904738,0,1/8/2018
-9.26648533,33.23267014,0,7/16/2018
-6.37279744,36.55702857,2,6/12/2018
-1.08048548,31.66327256,2,9/16/2018
-6.82950072,37.48747402,0,4/4/2018
-2.06349369,33.35647131,0,9/14/2018
-5.5923447,37.02381013,2,2/14/2018
-9.344921300000001,34.22303933,0,1/4/2018
-1.42926609,31.57239755,0,11/5/2018
-2.77016894,31.4647567,2,10/31/2018
-5.06726885,32.071081,2,11/3/2018
-9.31731152,34.64835709,0,4/16/2018
-2.93012242,31.6012707,0,1/27/2018
-3.49366766,36.84150658,0,6/11/2018
-4.4646702000000005,38.32726235,0,3/23/2018
-9.69622598,34.68859705,0,5/2/2018
-9.09504292,32.41352249,0,1/20/2018
-10.13363156,39.88898115,2,10/29/2018
-3.06136744,31.19411613,0,5/31/2018
-2.78450823,31.64732214,0,1/19/2018
