latitude,longitude,forecast,date_recorded
-3.30921425,36.65670893,0,2013-02-04
-3.30242017,36.68527855,0,2013-03-04
-10.89378645,39.60741997,2,2013-01-25
-10.82358805,39.26295070000001,2,2013-01-23
-3.25175375,37.09610836,0,2013-03-18
-3.24112116,37.23324768,0,2013-10-03
-4.16572015,33.66107435,2,2012-10-11
-3.2095291,33.00768032,2,2011-07-29
-7.87029042,35.61562385,0,2011-03-02
-10.91259619,35.48288627,0,2013-06-03
-4.5658015999999995,38.25402354,0,2011-03-11
-10.58336646,39.43852591,2,2013-02-02
-9.35251465,34.94362033,0,2011-03-07
-9.15287185,34.92959242,0,2011-02-23
-10.57968552,35.42444315,2,2013-02-18
-6.14752205,35.89487669,2,2011-04-10
-5.24231281,36.29176128,0,2013-02-20
-3.35116762,35.6124173,0,2013-12-03
-3.34770932,35.66507527,0,2013-03-13
-8.86253212,34.72199105,0,2011-03-27
-9.139496099999999,34.70534261,0,2011-07-04
-4.77558442,38.83713732,0,2011-03-14
-3.7238624,37.65808091,0,2013-02-22
-6.28331307,37.47632192,2,2011-02-27
-10.49203103,40.04071287,0,2013-02-06
-3.71753771,33.14491487,2,2012-10-12
-3.22665421,33.13082951,0,2011-07-28
-4.00583487,37.70648416,0,2013-03-04
-3.06340514,33.77857064,0,2012-10-16
-4.6312447,38.4236917,0,2011-03-18
-3.71955244,33.59072198,2,2012-10-15
-2e-08,0.0,2,2011-08-01
-3.28942377,37.55433946,0,2013-03-30
-3.29203785,36.61868919,2,2013-03-28
-1.20066603,34.25333419,0,2012-10-19
-3.45135176,36.80143513,0,2013-03-19
-3.13469202,37.62786033,2,2013-02-18
-3.18441406,37.22900273,0,2013-03-17
-11.20866259,37.45782761,1,2013-02-03
-4.48085439,35.52646919,2,2013-02-19
-3.13524663,33.51920554,0,2013-02-08
-5.28936932,39.05964828,0,2011-03-05
-3.27103862,37.22600343,0,2013-03-21
-6.33698054,35.56741628,0,2011-03-10
-3.7304578,37.59031748,2,2013-03-06
-4.8647269,38.46742948,2,2011-03-23
-1.69420356,31.12892305,0,2011-07-10
-3.31430939,36.88065592,0,2013-06-03
-5.30269309,35.82452906,2,2011-03-30
-3.81858443,37.47908238,0,2013-02-15
-6.74295268,38.90647215,2,2011-03-20
-4.13979616,35.87050076,0,2013-02-13
-6.37911714,31.24387308,2,2011-07-16
-8.9881064,33.98504961,0,2011-03-19
-9.19113626,33.91513217,0,2011-03-12
-1.52024104,31.53064308,1,2011-07-12
-6.61124387,31.14227776,2,2011-07-22
-3.90293977,32.76916953,2,2012-10-03
-7.08503792,37.57594115,0,2011-03-01
-4.4588915,38.24442402,0,2011-03-08
-4.18404892,35.02234242,0,2013-02-07
-7.94158325,35.56771838,0,2011-03-01
-3.35742512,36.67432678,0,2013-04-04
-8.11393053,31.63874388,2,2013-01-29
-6.91532531,37.75333011,0,2011-03-21
-6.64287516,38.35640398,0,2011-03-12
-10.44890839,34.6675289,0,2011-03-02
-9.38027549,34.23757868,0,2011-02-26
-3.28468532,37.27313434,0,2013-03-30
-9.39969423,34.740896,2,2011-03-04
-10.94025521,34.98990302,0,2013-03-14
-9.45018053,34.21215284,0,2011-03-01
-3.94044709,32.75733701,2,2012-10-03
-1.98006878,33.86144433,2,2012-11-08
-3.11331959,36.89963137,0,2013-10-03
-6.51840064,37.21538421,2,2011-04-18
-2e-08,0.0,0,2011-07-19
-6.77170227,35.84163553,0,2011-03-14
-10.87948265,39.24118301,2,2013-01-24
-4.20028394,33.18150167,0,2012-10-10
-3.21965387,37.58743816,2,2013-02-23
-3.33484802,37.15330819,0,2013-03-16
-5.56955781,36.15989877,2,2011-03-19
-6.7832854000000005,38.86003518,2,2011-02-26
-6.33126372,35.75457603,0,2011-04-01
-6.14209678,35.94820405,2,2011-04-09
-6.81055717,38.953264600000004,0,2011-03-17
-3.37881268,30.86837823,2,2013-02-09
-10.858004699999999,39.66918663,2,2013-01-27
-6.21749098,36.00487589999999,2,2011-04-04
-3.19868895,37.03823817,0,2013-03-24
-9.19269342,35.1018841,2,2011-04-18
-3.83352987,34.17113267,1,2012-10-07
-5.19786904,35.28050862,0,2011-03-14
-5.38462674,38.97155755,0,2011-03-04
-6.51860869,38.89095066,0,2011-03-23
-8.228000699999999,35.87501977,0,2011-02-20
-7.65095641,35.38635891,0,2011-03-08
-7.80582548,35.59280104,2,2011-03-04
-3.30207819,36.60724575,2,2013-03-28
-4.6615608,38.27094157,0,2011-03-16
-3.38737971,36.75927115,2,2013-03-14
-8.92088215,34.73747841,0,2011-03-14
-4.15189715,35.09479154,2,2013-02-08
-3.2681787,36.980594399999994,0,2013-03-21
-7.91925731,35.53901671,0,2011-03-01
-9.56048826,35.09343854,0,2011-03-06
-4.7781112,38.52077442,0,2011-03-26
-1.66592514,33.88622687,0,2012-10-28
-3.14633698,36.84895072,0,2013-11-03
-6.25308769,37.15765414,2,2011-04-14
-1.69114438,33.679676799999996,0,2012-12-13
-3.71814886,37.65901094,0,2013-02-22
-3.34092018,37.47692924,0,2013-03-03
-4.26044985,38.00682598,2,2013-02-18
-6.83863068,38.90354217,2,2011-02-27
-3.15236862,34.33720524,0,2012-11-09
-10.71445129,35.38271411,0,2013-02-27
-4.65458656,38.06751577,0,2011-03-22
-4.93811546,32.09890255,2,2012-10-27
-9.28989206,34.39176923,0,2011-11-03
-3.35258803,37.34831677,2,2013-02-22
-3.26222341,36.6391006,0,2013-03-26
